Order Date,Order ID,Product Name,Customer ID,Product Category,Product ID,QTY,Unit Price,Discount,Fright,TOTAL,Profit
21-04-2021,6633,Foundation,1142,Cosmetics,P-105,17,3158,3662.54,2686.73,52710.19,21402.04
24-12-2022,2606,Tennis Racket,1128,Sports,P-118,28,6606,14653.83,11519.73,181833.9,44921.98
24-05-2020,2329,Tablet,1088,Electronics,P-117,9,28816,16043.8,24905.63,268205.83,50528.98
07-11-2023,5706,Office Chair,1148,Furniture,P-111,89,73630,547237.82,326882.09,6332714.27,2292864.63
14-10-2020,2541,Dining Table,1008,Furniture,P-103,44,72302,300959.46,99357.09,2979685.63,1335809.89
20-07-2022,9744,Dining Table,1077,Furniture,P-103,94,49078,498857.5,96554.24,4211028.74,2034614.06
25-01-2024,1653,Office Chair,1050,Furniture,P-111,61,22284,175481.25,91378.88,1275221.63,538927.78
13-03-2023,3320,Sofa ,1014,Furniture,P-116,11,92413,77491.45,51840.99,990892.54,417605.54
16-10-2019,3145,Tennis Racket,1134,Sports,P-118,93,12516,168069.89,46809.86,1042727.97,364414.11
03-01-2024,3835,Mascara,1035,Cosmetics,P-109,28,2596,5342.07,6213.89,73559.82,25417.94
13-05-2021,4331,Smartwatch,1126,Electronics,P-115,70,34456,147728.92,64240.96,2328432.04,983388.74
27-11-2019,1267,Smartphone,1196,Electronics,P-114,35,48077,92633.64,154293.16,1744354.52,322222
23-07-2024,9334,Tablet,1193,Electronics,P-117,9,47922,24193.1,18210.44,425315.34,77888.82
29-07-2022,1000,Headphones,1097,Electronics,P-106,76,42986,538982.43,276045.83,3003999.4,388323.11
04-08-2022,9462,Lipstick,1008,Cosmetics,P-107,29,4660,17162.92,10723.55,128700.63,35393.29
18-04-2021,5298,Smartphone,1054,Electronics,P-114,61,22493,222687.25,56339.93,1205725.68,507304.9
21-03-2022,2257,Dining Table,1006,Furniture,P-103,70,83358,901932.74,141175.83,5074303.09,795624.21
25-10-2023,4205,Bed,1164,Furniture,P-102,81,29884,204618.7,170449.92,2386435.22,581192.57
10-04-2021,3297,Running Shoes,1097,Sports,P-113,96,13910,247721.9,40536.06,1128174.16,129726.05
20-06-2022,9381,Mascara,1108,Cosmetics,P-109,74,3530,43215.53,8557.75,226562.22,97533.55
23-01-2021,3437,Perfume,1065,Cosmetics,P-112,91,1696,12701.27,9262.12,150896.85,19070.7
13-12-2022,6850,Wardrobe,1103,Furniture,P-119,39,67726,353438.79,103860.75,2391735.96,685522.4
31-10-2023,8828,Lipstick,1041,Cosmetics,P-107,3,1049,497.58,208.7,2858.12,991.59
24-10-2019,5448,Perfume,1088,Cosmetics,P-112,29,485,2412.25,318.23,11970.98,4876.26
14-07-2023,7055,Dining Table,1108,Furniture,P-103,97,21926,419353.91,72709.52,1780177.61,653910.57
10-03-2023,1062,Bed,1092,Furniture,P-102,77,52242,460503.44,252340.32,3814470.88,499439.15
18-02-2020,4159,Smartwatch,1077,Electronics,P-115,69,31647,211884.62,161616.96,2133375.34,644984.52
05-03-2024,2902,Smartphone,1012,Electronics,P-114,71,26620,199746.07,165366.45,1855640.38,517431.32
28-07-2022,9097,Mascara,1094,Cosmetics,P-109,10,3475,4026.84,2929.42,33652.58,10532.44
12-12-2022,8786,Foundation,1199,Cosmetics,P-105,68,2575,18580.85,5474.65,161993.8,20695.5
23-08-2019,6988,Headphones,1092,Electronics,P-106,18,6227,12346.59,9459.74,109199.15,32855.17
11-03-2023,2665,Moisturizer,1094,Cosmetics,P-110,61,852,2705.94,4403.38,53669.44,12049.28
16-01-2024,7105,Tennis Racket,1186,Sports,P-118,19,11340,39365.8,7853.18,183947.38,34152.19
10-06-2021,6615,Laptop,1121,Electronics,P-108,2,23526,7580.71,1276.94,40748.23,13303.39
06-03-2022,9696,Sofa ,1059,Furniture,P-116,90,65245,316555.61,425958.32,5981452.71,1600505.13
04-04-2023,2485,Moisturizer,1011,Cosmetics,P-110,78,1973,14231.92,3812.47,143474.55,17782.6
12-08-2022,4461,Tablet,1034,Electronics,P-117,22,30385,48790.97,13770.02,633449.05,258461.6
27-01-2024,3457,Dining Table,1037,Furniture,P-103,99,43192,730086.53,372026.95,3917948.42,1070231.31
01-06-2022,5132,Tennis Racket,1196,Sports,P-118,40,4887,13141.07,6802.96,189141.89,64865.09
14-07-2020,6789,Smartwatch,1176,Electronics,P-115,64,45164,213826.77,200488.2,2877157.43,570995.09
27-03-2024,1148,Office Chair,1141,Furniture,P-111,73,85589,416579.96,579528.72,6410945.76,2044404.49
26-05-2020,3129,Perfume,1039,Cosmetics,P-112,7,1889,2553.89,799.98,11469.09,3768.21
07-09-2020,8294,Dining Table,1067,Furniture,P-103,77,27295,310426.09,72193.28,1863482.19,588987.79
04-12-2019,8115,Smartphone,1154,Electronics,P-114,22,26103,60175.78,28864.27,542954.49,112333.46
23-08-2020,9618,Smartwatch,1023,Electronics,P-115,92,36839,603540.17,74352.18,2860000.01,283408.25
04-02-2021,5569,Dining Table,1094,Furniture,P-103,91,34024,471135.46,146537.34,2771585.88,538225.53
11-09-2020,8071,Perfume,1061,Cosmetics,P-112,75,293,1598.28,477.94,20854.66,7564.07
15-07-2020,2968,Mascara,1109,Cosmetics,P-109,34,2348,12177.39,6167.49,73822.1,9245.58
28-12-2023,1434,Tennis Racket,1147,Sports,P-118,14,5087,10888.78,2938.21,63267.43,16975.16
26-03-2020,5301,Dining Table,1171,Furniture,P-103,37,55796,188429.94,196745.51,2072767.57,834893.7
29-04-2022,3130,Basketball,1198,Sports,P-101,29,4583,10558.55,8028.01,130376.46,37133.75
27-12-2023,4630,Bed,1007,Furniture,P-102,86,46028,405476.66,302530.17,3855461.51,1313451.28
12-11-2022,4054,Perfume,1097,Cosmetics,P-112,17,907,1783.69,1096.63,14731.94,5745.22
10-10-2021,9358,Mascara,1171,Cosmetics,P-109,37,1339,7282.64,4550.55,46810.91,19232.05
13-12-2022,6065,Wardrobe,1055,Furniture,P-119,50,24144,134200.98,83697.13,1156696.15,448532.97
07-12-2021,2642,Football,1157,Sports,P-104,95,6205,37842.55,45398.21,597030.66,254996.51
06-04-2023,2722,Mascara,1001,Cosmetics,P-109,29,2256,9741.86,3406.52,59088.66,22970.95
18-07-2022,3784,Yoga Mat,1112,Sports,P-120,54,7149,29977.52,18153.2,374221.68,83905.19
07-06-2021,2677,Smartphone,1151,Electronics,P-114,42,7357,40159.17,9918.22,278753.05,30099.26
05-05-2022,6600,Basketball,1054,Sports,P-101,60,10818,47305.67,16179,617953.33,67999.78
21-03-2023,4335,Basketball,1039,Sports,P-101,20,2745,5742.62,4020.06,53177.44,20417.85
10-08-2020,1252,Tennis Racket,1161,Sports,P-118,62,7533,47872.29,43419.61,462593.32,155670.72
07-05-2024,7453,Bed,1173,Furniture,P-102,23,44433,52940.03,61834.34,1030853.31,140478.87
21-05-2020,1361,Tablet,1087,Electronics,P-117,83,15692,174314.03,107422.93,1235544.9,253971.68
02-06-2021,1926,Headphones,1174,Electronics,P-106,11,13672,16245.48,7350.77,141497.29,33487.83
17-02-2021,5830,Tablet,1037,Electronics,P-117,39,28785,148209.24,56814.46,1031220.22,164123.39
27-09-2020,8450,Bed,1005,Furniture,P-102,73,34008,373243.03,78188.15,2187529.12,786136.69
21-07-2024,6221,Office Chair,1067,Furniture,P-111,94,48050,480946.85,384290.32,4420043.47,1642747.1
18-12-2023,2983,Headphones,1000,Electronics,P-106,16,38465,83154.54,51467.13,583752.59,248276.74
15-04-2020,4006,Headphones,1142,Electronics,P-106,55,40412,272710.01,104730.35,2054680.34,753184.85
11-06-2020,3406,Perfume,1004,Cosmetics,P-112,76,753,5716.97,4417.73,55928.76,22708.96
05-05-2024,6024,Football,1049,Sports,P-104,52,14033,44330.21,34701.34,720087.13,238025.41
03-03-2023,2696,Laptop,1110,Electronics,P-108,80,28701,340017.24,182433.26,2138496.02,775853.23
05-06-2020,5093,Dining Table,1194,Furniture,P-103,87,50574,571113.01,416623.41,4245448.4,1292768.05
11-08-2020,9232,Running Shoes,1125,Sports,P-113,81,5527,65754.71,37996.72,419929.01,123472.11
22-08-2022,3386,Bed,1187,Furniture,P-102,66,86250,766992.17,300265.12,5225772.95,1071802.39
27-05-2021,8040,Running Shoes,1086,Sports,P-113,2,12988,1356.9,1557.09,26176.19,6317.32
23-06-2020,9399,Headphones,1044,Electronics,P-106,79,45404,390044.13,141470.63,3338342.5,702268.33
28-03-2020,1385,Headphones,1138,Electronics,P-106,5,19866,8458.43,7341.65,98213.22,39744.74
27-07-2023,8024,Mascara,1180,Cosmetics,P-109,24,4147,12816.52,5998.16,92709.64,27109.4
13-08-2020,2672,Bed,1041,Furniture,P-102,83,93847,1356075.2,776477.87,7209703.67,3203984.34
14-09-2021,3411,Bed,1020,Furniture,P-102,7,55264,49388.39,14645.87,352105.48,132469.95
14-11-2020,2805,Headphones,1035,Electronics,P-106,84,29519,319704.94,174493.15,2334384.21,923501.79
13-03-2021,1055,Foundation,1143,Cosmetics,P-105,1,3909,563.09,163.69,3509.6,567.61
02-10-2020,1757,Tablet,1150,Electronics,P-117,95,43210,756371.4,357645.14,3706223.74,714645.41
