Shipping ID,Order ID,Order Date,Shipment Date,Shipment Mode,Shipment Company,Route ID,Delivery Date,Shipment Days,Fright,Status
5288,6633,21-04-2021,21-04-2021,Sea,DHL,1004,21-05-2021,30,2686.73,Cancelled
1706,2606,24-12-2022,27-12-2022,Land,DTDC,1008,21-01-2023,25,11519.73,In Transit
6040,2329,24-05-2020,25-05-2020,Sea,Blue Dart,1007,22-06-2020,28,24905.63,Delivered
5281,5706,07-11-2023,07-11-2023,Land,DTDC,1010,29-11-2023,22,326882.09,Pending
5646,2541,14-10-2020,16-10-2020,Sea,DHL,1004,10-11-2020,25,99357.09,In Transit
9869,9744,20-07-2022,24-07-2022,Sea,Aramex,1006,15-08-2022,22,96554.24,Delivered
1141,1653,25-01-2024,26-01-2024,Sea,FedEx,1010,23-02-2024,28,91378.88,Cancelled
1364,3320,13-03-2023,17-03-2023,Land,Blue Dart,1001,15-04-2023,29,51840.99,Delivered
9782,3145,16-10-2019,17-10-2019,Air,TNT Express,1001,14-11-2019,28,46809.86,Cancelled
3558,3835,03-01-2024,06-01-2024,Land,Aramex,1008,26-01-2024,20,6213.89,Cancelled
8782,4331,13-05-2021,16-05-2021,Air,DHL,1006,06-06-2021,21,64240.96,Pending
6973,1267,27-11-2019,01-12-2019,Land,India Post,1008,24-12-2019,23,154293.16,Delivered
8640,9334,23-07-2024,23-07-2024,Sea,FedEx,1004,17-08-2024,25,18210.44,In Transit
7734,1000,29-07-2022,31-07-2022,Air,Blue Dart,1002,30-08-2022,30,276045.83,In Transit
6563,9462,04-08-2022,04-08-2022,Air,Blue Dart,1003,26-08-2022,22,10723.55,In Transit
6605,5298,18-04-2021,21-04-2021,Sea,FedEx,1009,11-05-2021,20,56339.93,In Transit
6778,2257,21-03-2022,22-03-2022,Land,DHL,1004,17-04-2022,26,141175.83,Pending
5500,4205,25-10-2023,29-10-2023,Sea,FedEx,1003,21-11-2023,23,170449.92,Pending
7015,3297,10-04-2021,13-04-2021,Land,FedEx,1002,04-05-2021,21,40536.06,Cancelled
8856,9381,20-06-2022,20-06-2022,Air,FedEx,1002,15-07-2022,25,8557.75,Cancelled
6848,3437,23-01-2021,23-01-2021,Air,FedEx,1003,12-02-2021,20,9262.12,Delivered
9395,6850,13-12-2022,14-12-2022,Air,Aramex,1001,08-01-2023,25,103860.75,In Transit
1077,8828,31-10-2023,03-11-2023,Land,Blue Dart,1005,29-11-2023,26,208.7,Pending
3141,5448,24-10-2019,24-10-2019,Sea,DTDC,1007,21-11-2019,28,318.23,Cancelled
4306,7055,14-07-2023,15-07-2023,Sea,Blue Dart,1010,14-08-2023,30,72709.52,Cancelled
2112,1062,10-03-2023,13-03-2023,Air,Aramex,1001,08-04-2023,26,252340.32,Cancelled
7475,4159,18-02-2020,21-02-2020,Air,TNT Express,1001,19-03-2020,27,161616.96,Pending
6085,2902,05-03-2024,09-03-2024,Air,India Post,1009,03-04-2024,25,165366.45,Delivered
6578,9097,28-07-2022,28-07-2022,Air,Blue Dart,1001,25-08-2022,28,2929.42,Pending
1272,8786,12-12-2022,13-12-2022,Sea,India Post,1009,05-01-2023,23,5474.65,Delivered
8779,6988,23-08-2019,27-08-2019,Sea,India Post,1002,18-09-2019,22,9459.74,Pending
2446,2665,11-03-2023,12-03-2023,Sea,Blue Dart,1009,06-04-2023,25,4403.38,Pending
8688,7105,16-01-2024,18-01-2024,Sea,Aramex,1006,16-02-2024,29,7853.18,Delivered
6299,6615,10-06-2021,11-06-2021,Sea,India Post,1006,08-07-2021,27,1276.94,In Transit
2718,9696,06-03-2022,09-03-2022,Land,DHL,1003,29-03-2022,20,425958.32,In Transit
9521,2485,04-04-2023,06-04-2023,Air,UPS,1002,05-05-2023,29,3812.47,Cancelled
9941,4461,12-08-2022,16-08-2022,Sea,UPS,1009,10-09-2022,25,13770.02,Cancelled
3873,3457,27-01-2024,29-01-2024,Air,TNT Express,1006,21-02-2024,23,372026.95,Pending
3642,5132,01-06-2022,05-06-2022,Air,UPS,1003,28-06-2022,23,6802.96,In Transit
3951,6789,14-07-2020,14-07-2020,Air,FedEx,1004,09-08-2020,26,200488.2,In Transit
5658,1148,27-03-2024,31-03-2024,Sea,UPS,1002,28-04-2024,28,579528.72,Delivered
3640,3129,26-05-2020,27-05-2020,Air,TNT Express,1004,22-06-2020,26,799.98,Delivered
2661,8294,07-09-2020,08-09-2020,Air,DHL,1006,28-09-2020,20,72193.28,In Transit
2085,8115,04-12-2019,07-12-2019,Sea,TNT Express,1003,31-12-2019,24,28864.27,In Transit
8681,9618,23-08-2020,25-08-2020,Land,India Post,1004,19-09-2020,25,74352.18,Pending
